City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
492,Delijan,IR,85.66,clear sky,33.9905,50.6838,ایزوگام آسیاگستردلیجان
496,Quatre Cocos,MU,75.31,clear sky,-20.2078,57.7625,Emeraude Beach Attitude Hotel
497,Fort Walton Beach,US,80.98,clear sky,30.4058,-86.6188,Best Western Ft. Walton Beachfront
499,Caucaia,BR,87.75,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
500,Pemba,MZ,79.5,broken clouds,-12.974,40.5178,Guesthouse Samotina
502,Buala,SB,78.53,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
505,Panikian,PH,76.71,heavy intensity rain,7.0107,126.0242,Blue Ivy Farm and Resort
509,Finschhafen,PG,78.55,overcast clouds,-6.6024,147.8681,Cossam Guest House
521,Sabang,ID,83.98,scattered clouds,5.8933,95.3214,Hotel Citra
529,Porto Novo,BJ,84.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
531,Tabou,CI,81.68,light rain,4.423,-7.3528,hotêl doufoulougou
540,Les Cayes,HT,85.59,scattered clouds,18.2,-73.75,Villa Orphee
542,Nouadhibou,MR,76.98,overcast clouds,20.931,-17.0347,El Medina
545,Meulaboh,ID,76.37,overcast clouds,4.1363,96.1285,Kost Pria
546,Santa Cruz,BO,75.25,light rain,-17.8,-63.1667,Aviador Hotel Boutique
553,Sibolga,ID,76.6,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
556,Buta,CD,78.04,light rain,2.7858,24.73,HOTEL BISO NA BISO
558,Sao Jose Da Coroa Grande,BR,80.1,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
561,Nosy Varika,MG,75.11,scattered clouds,-20.5833,48.5333,Hotel Volazara
562,Badin,PK,87.6,few clouds,24.656,68.8384,Shedi hotel
569,Bonoua,CI,82.02,broken clouds,5.2741,-3.595,Hotel Bon Samaritian
571,Auki,SB,75.97,scattered clouds,-8.7676,160.7034,Auki Motel
573,Kandrian,PG,77.23,light rain,-6.2167,149.55,Kandrian Station
575,Dakar,SN,81.48,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
576,Puerto Colombia,CO,87.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
579,Jalpatagua,GT,85.17,overcast clouds,14.1417,-90.0086,Hotel Posada de Don Meme
581,Sirjan,IR,84.54,clear sky,29.452,55.6814,MAPNA Building
584,Mattru,SL,80.08,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
585,Singaraja,ID,77.52,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
586,Alta Floresta,BR,87.24,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
589,Palasa,IN,83.73,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
593,Nhulunbuy,AU,75.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
596,Celestun,MX,87.84,scattered clouds,20.8667,-90.4,Posada Lilia
598,Taloqan,AF,80.94,clear sky,36.7361,69.5345,Saraisang street
599,Selma,US,88.7,clear sky,36.5708,-119.6121,Holiday Inn Selma-Swancourt
611,San Cristobal,VE,77.18,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
612,Boa Vista,BR,78.78,light rain,2.8197,-60.6733,Aipana Plaza Hotel
615,Sidi Ali,DZ,77.49,broken clouds,36.0998,0.4206,الغابة الترفيهية بورحمة
628,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
633,Palauig,PH,83.21,scattered clouds,15.435,119.9045,Myhousebythesea
634,Brumado,BR,88.29,scattered clouds,-14.2036,-41.6653,Hotel São Lázaro
646,Ewo,CG,82.13,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
653,Salinopolis,BR,84.85,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
657,Ewa Beach,US,75.02,clear sky,21.3156,-158.0072,Uncle Junior Robert
659,Skarnes,NO,80.62,clear sky,60.2528,11.6797,Slobrua Gjestegård
