City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Lebu,-37.6167,-73.65,54.32,93,58,7.02,CL,2021-05-24 22:48:08
68,Bani,18.2833,-70.3333,81.75,74,16,12.93,DO,2021-05-24 22:52:49
69,Bambous Virieux,-20.3428,57.7575,71.85,77,75,13.47,MU,2021-05-24 22:52:49
70,Pangody,65.85,74.4859,32.9,58,100,5.28,RU,2021-05-24 22:52:49
71,Port Hardy,50.6996,-127.4199,55.4,82,75,8.05,CA,2021-05-24 22:52:50
72,Kruisfontein,-34.0033,24.7314,60.89,61,98,3.94,ZA,2021-05-24 22:52:50
73,Afsin,38.2477,36.914,56.07,71,0,5.37,TR,2021-05-24 22:52:51
74,Tiksi,71.6872,128.8694,36.59,78,82,6.55,RU,2021-05-24 22:52:51
75,Albanel,48.8832,-72.4487,60.78,39,1,11.5,CA,2021-05-24 22:52:51
76,Voh,-20.9667,164.7,74.89,53,9,13.09,NC,2021-05-24 22:52:52
77,College,64.8569,-147.8028,69.39,29,20,3.44,US,2021-05-24 22:48:33
78,Mount Gambier,-37.8333,140.7667,57.11,88,90,21.85,AU,2021-05-24 22:52:53
79,Avarua,-21.2078,-159.775,84.25,84,75,11.5,CK,2021-05-24 22:52:53
80,Tateyama,34.9833,139.8667,76.14,76,83,4.5,JP,2021-05-24 22:52:53
81,Gold Coast,-28.0,153.4333,68.2,77,90,3.0,AU,2021-05-24 22:52:54
82,Endicott,42.0984,-76.0494,70.92,74,20,1.01,US,2021-05-24 22:50:37
83,New Norfolk,-42.7826,147.0587,58.87,62,100,2.82,AU,2021-05-24 22:52:54
84,Ewa Beach,21.3156,-158.0072,83.08,66,1,8.99,US,2021-05-24 22:52:55
85,Olafsvik,64.8945,-23.7142,44.64,77,88,9.55,IS,2021-05-24 22:52:55
86,Usinsk,65.9939,57.5281,41.94,46,100,13.87,RU,2021-05-24 22:52:55
